chi_over_J,eta_c_over_J_literal_eq7,f1,ground_ipr
0.0,0.20640633345815543,0.36186322041339786,0.003968253968252678
0.01,0.2064040678134451,0.3618711646172067,0.003968311756168189
0.02,0.20639662126640185,0.3618972768592097,0.003968501175662065
0.03,0.2063839839056868,0.3619415978027593,0.003968822248619854
0.04,0.20636613924648506,0.36200419531738137,0.003969275014662499
0.05,0.2063430642279673,0.3620851645576828,0.003969859531252892
0.06,0.2063147292098677,0.3621846280740046,0.0039705758738651925
0.07,0.2062810979682866,0.3623027359548665,0.003971424136155257
0.08,0.20624212769087405,0.36243966600121563,0.003972404430230836
0.09,0.20619776897155415,0.36259562393259637,0.00397351688692805
0.1,0.2061479658050138,0.36277084362526113,0.003974761656136516
0.11,0.20609265558119114,0.3629655873823305,0.003976138907182137
0.12,0.2060317690800369,0.3631801462361011,0.003977648829256343
0.13,0.20596523046685586,0.36341484028260823,0.003979291631856803
0.14,0.20589295728856793,0.36367001904856705,0.003981067545323574
0.15,0.2058148604712575,0.36394606189084183,0.003982976821373342
0.16,0.2057308443194123,0.36424337842860677,0.003985019733695619
0.17,0.20564080651729721,0.3645624090083396,0.003987196578607519
0.18,0.2055446381329122,0.36490362520190467,0.00398950767572796
0.19,0.20544222362504577,0.36526753033789583,0.003991953368712352
0.2,0.20533344085395433,0.36565466006647407,0.003994534026009659
0.21,0.20521816109621616,0.3660655829580013,0.003997250041696986
0.22,0.20509624906435686,0.3665009011357316,0.004000101836331516
0.23,0.2049675629318759,0.366961250942837,0.004003089857848213
0.24,0.20483195436429538,0.3674473036442056,0.004006214582518617
0.25,0.20468926855693523,0.3679597661632754,0.0040094765159194015
0.26,0.20453934428009657,0.36849938185438186,0.00401287619399123
0.27,0.20438201393238484,0.3690669313110331,0.004016414184103926
0.28,0.2042171036029221,0.36966323321058653,0.004020091086186355
0.29,0.2040444331432126,0.3702891451958591,0.0040239075338745715
0.3,0.2038638162494519,0.3709455647942212,0.004027864195724875
0.31,0.20367506055608725,0.3716334303747607,0.004031961776500965
0.32,0.20347796774142599,0.3723537221442421,0.004036201018423398
0.33,0.20327233364615394,0.3731074631824321,0.004040582702545624
0.34,0.2030579484055431,0.3738957205177462,0.004045107650137499
0.35000000000000003,0.2028345965962474,0.3747196062437985,0.004049776724101928
0.36,0.2026020573984557,0.37558027867796767,0.004054590830480481
0.37,0.20236010477426672,0.37647894356278155,0.0040595509199739315
0.38,0.20210850766310356,0.37741685531112745,0.0040646579894920674
0.39,0.2018470301949241,0.37839531829652645,0.004069913083816551
0.4,0.2015754319220512,0.37941568818945953,0.004075317297240245
0.41000000000000003,0.20129346807032897,0.3804793733411413,0.0040808717753066355
0.42,0.2010008898103348,0.3815878362160051,0.0040865777165603545
0.43,0.20069744454930238,0.3827425948743778,0.004092436374397727
0.44,0.20038287624437562,0.3839452245068619,0.004098449058920704
0.45,0.200056925737742,0.385197359022098,0.00410461713887329
0.46,0.19971933111415024,0.3865006926896116,0.0041109420436188406
0.47000000000000003,0.1993698280812056,0.3878569818396981,0.004117425265197363
0.48,0.1990081503727961,0.38926804662226994,0.004124068360416745
0.49,0.19863403017586756,0.3907357728268817,0.004130872952990475
0.5,0.1982471985807155,0.39226211376609577,0.004137840735813372
0.51,0.19784738605478774,0.3938490922247473,0.0041449734731786
0.52,0.19743432293992572,0.39549880247762326,0.004152273003188329
0.53,0.1970077399728368,0.39721341237826224,0.004159741240134922
0.54,0.19656736882841738,0.3989951655219083,0.004167380177026966
0.55,0.19611294268544918,0.4008463834856497,0.0041751918881134595
0.56,0.19564419681400977,0.40276946814908865,0.004183178531561572
0.5700000000000001,0.19516086918378692,0.40476690409906796,0.004191342352164021
0.58,0.19466270109231987,0.4068412611222062,0.004199685684142894
0.59,0.19414943781203317,0.40899519678916757,0.004208210954054442
0.6,0.19362082925470941,0.4112314591350238,0.004216920683755459
0.61,0.19307663065193312,0.4135528894400552,0.004225817493496875
0.62,0.19251660324978304,0.4159624251159258,0.004234904105097909
0.63,0.19194051501592074,0.41846310270223225,0.004244183345224868
0.64,0.19134814135703063,0.42105806097879434,0.0042536581487894794
0.65,0.19073926584432924,0.4237505441996222,0.004263331562439602
0.66,0.1901136809447721,0.42654390545448895,0.00427320674821292
0.67,0.1894711887553344,0.4294416101647616,0.004283286987258687
0.68,0.18881160173761768,0.43244723972037935,0.004293575683758491
0.6900000000000001,0.18813474344985856,0.43556449526539937,0.004304076368914731
0.7000000000000001,0.18744044927326245,0.4387972016400492,0.004314792705141679
0.71,0.1867285671294657,0.4421493114876715,0.004325728490403725
0.72,0.1859989581857789,0.4456249095356659,0.004336887662692586
0.73,0.18525149754478906,0.449228217060013,0.00434827430468331
0.74,0.1844860749147657,0.45296359654385543,0.004359892648604322
0.75,0.183702595257314,0.4568355565410476,0.004371747081259486
0.76,0.18290097940853467,0.460848756757053,0.004383842149251279
0.77,0.182081164670103,0.46500801335961306,0.004396182564490281
0.78,0.18124310536648602,0.469318304533535,0.004408773209810417
0.79,0.18038677336465694,0.47378477629448296,0.004421619144937403
0.8,0.17951215855263275,0.47841274857827437,0.0044347256126560115
0.81,0.17861926927325206,0.48320772162347236,0.004448098045242756
0.8200000000000001,0.17770813270966432,0.4881753826668209,0.004461742071208542
0.8300000000000001,0.17677879521912487,0.4933216129727952,0.004475663522329204
0.84,0.17583132261178894,0.4986524952207487,0.00448986844101422
0.85,0.1748658003713552,0.5041743212754117,0.004504363087971272
0.86,0.17388233381451965,0.5098936003694574,0.004519153950309185
0.87,0.17288104818647085,0.5158170677293739,0.0045342477499375365
0.88,0.17186208868967348,0.5219516936803651,0.004549651452466084
0.89,0.17082562044352784,0.5283046932691938,0.004565372276460233
0.9,0.1697718283726035,0.5348835364490301,0.0045814177032058225
0.91,0.168700917021293,0.5416959588760419,0.004597795486982997
0.92,0.16761311029304798,0.5487499733728987,0.004614513665786588
0.93,0.16650865111234045,0.5560538821227822,0.00463158057273795
0.9400000000000001,0.1653878010078376,0.5636162896646989,0.0046490048479499845
0.9500000000000001,0.16425083961524517,0.5714461167716754,0.004666795451170328
0.96,0.16309806409849187,0.579552615303997,0.004684961674996584
0.97,0.16192978848798195,0.5879453841428538,0.0047035131589081534
0.98,0.16074634293459011,0.5966343863256139,0.004722459904013512
0.99,0.15954807287818054,0.6056299675208431,0.004741812288693652
1.0,0.15833533812933115,0.6149428760020307,0.004761581085098292
1.01,0.15710851186277636,0.6245842843033441,0.0047817774766288935
1.02,0.15586797952098574,0.634565812768,0.004802413076422556
1.03,0.1546141376260213,0.6448995552324949,0.004823499946988052
1.04,0.15334739249750617,0.6555981071276552,0.004845050620981131
1.05,0.15206815887414554,0.666674596321421,0.0048670781232768075
1.06,0.15077685843586958,0.6781427170785732,0.00488959599442386
1.07,0.14947391822296263,0.6900167675734352,0.004912618315515279
1.08,0.14815976894814417,0.7023116914587814,0.004936159734712134
1.09,0.14683484319670304,0.7150431240759902,0.004960235495416898
1.1,0.14549957350911746,0.7282274439840105,0.004984861466318356
1.11,0.14415439033973576,0.7418818305934297,0.005010054173387084
1.12,0.14279971988418239,0.7560243288182076,0.00503583083401268
1.1300000000000001,0.14143598176718725,0.7706739218044295,0.005062209393434408
1.1400000000000001,0.14006358658160903,0.7858506129651056,0.005089208563675748
1.1500000000000001,0.13868293326830058,0.801575518749089,0.005116847865155295
1.16,0.13729440632555498,0.8178709738010005,0.005145147671154149
1.17,0.13589837283581296,0.8347606504368573,0.005174129255499007
1.18,0.13449517929645208,0.852269694669621,0.005203814843570067
1.19,0.1330851482406983,0.8704248813787072,0.00523422766704493
1.2,0.13166857463407605,0.8892547916356581,0.005265392022592209
1.21,0.13024572203157528,0.9087900156819493,0.005297333334911718
1.22,0.128816818480734,0.929063385617858,0.005330078224465889
1.23,0.12738205215646223,0.9501102425129985,0.005363654580357547
1.24,0.12594156671457252,0.9719687434073864,0.005398091638699946
1.25,0.12449545635330499,0.9946802145464526,0.005433420067107725
1.26,0.12304376057502027,1.0182895582159899,0.005469672055720961
1.27,0.12158645864518274,1.0428457217180613,0.005506881415483621
1.28,0.12012346375166086,1.068402238404187,0.0055450836842308535
1.29,0.11865461687606596,1.0950178522659344,0.005584316241386996
1.3,0.11717968039970489,1.12275723942745,0.0056246184320629805
1.31,0.11569833148086399,1.151691842021321,0.005666031701488159
1.32,0.1142101552579475,1.1819008324100093,0.00570859974064309
1.33,0.11271463795537627,1.2134722285909978,0.005752368644416304
1.34,0.11121115999648626,1.246504184966424,0.005797387083390503
1.35,0.10969898926096727,1.2811064865388346,0.0058437064905433374
1.36,0.10817727466473873,1.3174022790938273,0.005891381264745342
1.37,0.10664504028702519,1.3555300731785291,0.005940468992359277
1.3800000000000001,0.10510118032513796,1.3956460657622702,0.00599103068926043
1.3900000000000001,0.10354445522038282,1.437926830556745,0.006043131065180845
1.4000000000000001,0.101973489369568,1.4825724362171793,0.006096838813035345
1.41,0.10038677091437437,1.5298100612475851,0.006152226925936977
1.42,0.09878265418269074,1.5798981856436567,0.0062093730449621215
1.43,0.09715936543980519,1.6331314523654121,0.006268359841404723
1.44,0.09551501268633472,1.689846307007888,0.00632927543742216
1.45,0.09384760030755479,1.7504275418966628,0.006392213869714005
1.46,0.09215504942567006,1.8153158917275614,0.0064572756016030375
1.47,0.09043522481808355,1.8850168524150568,0.006524568089315266
1.48,0.0886859692288855,1.96011092355305,0.006594206409591577
1.49,0.0869051457951152,2.0412655087950493,0.006666313956456623
1.5,0.08509068912009851,2.1292487482903986,0.006741023216349322
1.51,0.08324066522946377,2.224945604440556,0.006818476632127856
1.52,0.08135334023179981,2.3293765778194553,0.006898827568469647
1.53,0.07942725695949582,2.4437194961945212,0.006982241392615641
1.54,0.07746131819882432,2.5693348978109056,0.007068896687594448
1.55,0.07545487434081267,2.7077956235508056,0.007158986617133626
1.56,0.07340781244622054,2.8609213438871204,0.007252720465476588
1.57,0.07132064287610496,3.030818879989014,0.007350325379195086
1.58,0.06919457888565246,3.2199293385572028,0.007452048342941516
1.59,0.06703160402290896,3.4310832726773337,0.007558158427591689
1.6,0.06483452192104912,3.66756531453094,0.007668949355816034
1.61,0.06260698324790903,3.9331900081814046,0.0077847424399032
1.62,0.06035348524086427,4.232390915300733,0.00790588995686015
1.6300000000000001,0.0580793404537014,4.570325487500609,0.008032779039913946
1.6400000000000001,0.05579061303146815,4.952998715586965,0.00816583618188452
1.6500000000000001,0.05349402289558052,5.387409203488436,0.008305532466701984
1.6600000000000001,0.05119682048206479,5.881722104567231,0.008452389671314196
1.67,0.04890663689184369,6.445474342512959,0.008606987412686637
1.68,0.046631316227487105,7.089818773255573,0.008769971555080934
1.69,0.04437873827493938,7.8278155010117,0.008942064145454495
1.7,0.04215664036222766,8.674780542016148,0.009124075208933165
1.71,0.039972447133574666,9.648704561993574,0.009316916822218059
1.72,0.03783311611146774,10.770757693185931,0.009521619988967195
1.73,0.0357450054376223,12.065900716185205,0.009739354980306283
1.74,0.0337137682605214,13.56362855106403,0.009971455982861324
1.75,0.031744276107466524,15.298879589299958,0.01021945112796959
1.76,0.02984057147313847,17.31315472839198,0.010485099277470693
1.77,0.028005847942274665,19.655904317872977,0.010770435331087127
1.78,0.026242454587558743,22.386261558144515,0.011077826328870562
1.79,0.02455192017233057,25.575230445935702,0.011410041279044394
1.8,0.022934991831198577,29.30848048574726,0.011770338486238345
1.81,0.02139168232833272,33.689968210098584,0.012162575233353819
1.82,0.019921319548356894,38.84671314773378,0.012591346009987158
1.83,0.018522591415341683,44.935232037499624,0.013062157085646706
1.84,0.017193578744874295,52.150432959895085,0.013581646995060497
1.85,0.015931767405409258,60.738290961181356,0.014157864095895882
1.86,0.01473402936177766,71.01456324778513,0.014800612890600258
1.87,0.013596559534204869,83.39354294520435,0.015521878221505846
1.8800000000000001,0.01251475195408809,98.43419409665495,0.016336326311464353
1.8900000000000001,0.011482995110815162,116.91766209027396,0.017261854916483434
1.9000000000000001,0.010494365035086085,139.9839194171802,0.01832010475147631
1.9100000000000001,0.009540202211509613,169.38514583542812,0.019536724180061443
1.92,0.00860959153911798,207.98182586199954,0.020940975741867818
1.93,0.0076888623256848275,260.7752155701339,0.022564063527347654
1.94,0.006761472618275062,337.21578456772374,0.024436016301246134
1.95,0.005809208989424848,456.83196137561424,0.02658574332752084
1.96,0.004816844089370448,664.4545865442453,0.029076758751078433
1.97,0.003785112117784787,1076.0513236631057,0.032264901570373435
1.98,0.002766245819407422,2014.6932954057834,0.038422644877400464
1.99,0.001989428021229221,3895.238202739032,0.06282802546746433
2.0,0.0,2853.6784285141257,0.15541363667687147
2.0100000000000002,0.0,440.14960892322455,0.2474955019837159
2.02,0.0,65.52626592425813,0.2969998532202749
2.0300000000000002,0.0,22.847769701956818,0.3319502171889304
2.04,0.0,15.00676950007244,0.36064270927998615
2.05,0.0,11.876849018440911,0.3853890390583307
2.06,0.0,9.880034955419001,0.40721354410408744
2.07,0.0,8.384981213612265,0.4267350894634555
2.08,0.0,7.200076502282243,0.44438575840836597
2.09,0.0,6.235714338766767,0.46048746375074556
2.1,0.0,5.4384945889746525,0.47528783535824193
2.11,0.0,4.7722454757157555,0.48898101155291773
2.12,0.0,4.210682399016962,0.5017213576670124
2.13,0.0,3.733925847227528,0.5136331459366265
2.14,0.0,3.326573748183278,0.5248176042582626
2.15,0.0,2.9765020487322515,0.5353581281503692
2.16,0.0,2.674055253783,0.545324170610202
2.17,0.0,2.4114709279690234,0.554774168197396
