n_spins,rate_tau0_over_tauq,fidelity_lower_bound,fidelity_upper_bound,fidelity_exact,lzf_fit_coefficient,paper_reported_lzf_coefficient,lzf_fit_point_count,lzf_fit_fidelity
30,0.001,0.9999981249300831,0.9999990624326686,0.9999990624317804,54.07384103920896,54.0,9,0.9999999999999102
30,0.0015,0.9999957768907677,0.9999978883624242,0.9999978883579135,54.07384103920896,54.0,9,0.999999997994452
30,0.0025,0.9999760104354047,0.9999879987701297,0.9999879986850019,54.07384103920896,54.0,9,0.9999939557860765
30,0.004,0.9988756904585695,0.9994377878359112,0.9994377761267302,54.07384103920896,54.0,9,0.9994525589098106
30,0.006,0.9866266536070347,0.9933134705884034,0.993313155544185,54.07384103920896,54.0,9,0.9933079641134015
30,0.01,0.9008115394401233,0.9504143314659266,0.9504078487778528,54.07384103920896,54.0,9,0.9504167537711959
30,0.015,0.7296620444011674,0.8648840843083934,0.8648442371549204,54.07384103920896,54.0,9,0.8650343332560799
30,0.025,0.3961834659099852,0.6984549041029221,0.6981823721541964,54.07384103920896,54.0,9,0.6992996160042815
30,0.04,0.0486453182669353,0.5287678750612763,0.5254329644580588,54.07384103920896,54.0,9,0.5281176438880848
50,0.001,0.9999758066600808,0.9999878665951346,0.9999878665688493,57.175441697223334,57.0,10,0.9999891905341427
50,0.0015,0.9990192231281334,0.9995093496930938,0.999509347215998,57.175441697223334,57.0,10,0.9995111193785935
50,0.0025,0.9793703705487408,0.9896839267068137,0.9896837817281234,57.175441697223334,57.0,10,0.9896837539069745
50,0.004,0.885327136695889,0.9426660538637834,0.9426639906817557,57.175441697223334,57.0,10,0.9426608753649243
50,0.006,0.7024780638694119,0.8512548592408683,0.8512427989293971,57.175441697223334,57.0,10,0.8513035138968182
50,0.01,0.36195194036322587,0.681119071941023,0.6810112506651271,57.175441697223334,57.0,10,0.6813012035318247
50,0.015,0.06330161778791066,0.5341048041885577,0.5322633021735619,57.175441697223334,57.0,10,0.5334262703498152
50,0.025,-0.30255537520934994,0.3932648851067204,0.3598515691447902,57.175441697223334,57.0,10,0.3670751179188467
50,0.04,-0.6686363065962291,0.413290065715757,0.22744201270456507,57.175441697223334,57.0,10,0.24864512971526886
70,0.001,0.9949064658159845,0.9974515879942939,0.997451579879773,58.532887151228536,59.0,10,0.9974527567597562
70,0.0015,0.9627021403900043,0.9813477190901594,0.9813475853412441,58.532887151228536,59.0,10,0.9813485065417249
70,0.0025,0.8165769201182451,0.9082904410804349,0.9082886132845863,58.532887151228536,59.0,10,0.9082875770203084
70,0.004,0.5505736718209342,0.775302581153346,0.7752900925266517,58.532887151228536,59.0,10,0.7753442159179378
70,0.006,0.26025853812607214,0.6303868406291353,0.6301923600030169,58.532887151228536,59.0,10,0.6304455782063303
70,0.01,-0.11097771330324502,0.45530983868968433,0.44720863156090457,58.532887151228536,59.0,10,0.44969045978970534
70,0.015,-0.4011179199785839,0.3765996967748615,0.31872314528073,58.532887151228536,59.0,10,0.32846081197783983
70,0.025,-0.8190622532340055,0.4753600298508811,0.18636797577044964,58.532887151228536,59.0,10,0.21251404508849314
70,0.04,-1.3100225449472847,0.8865794460577194,0.09874996462533747,58.532887151228536,59.0,10,0.13870532840261118
90,0.001,0.9485552129410517,0.9742723397172273,0.9742722334498782,59.291351563496896,59.0,8,0.9742664572591637
90,0.0015,0.8256970758727347,0.912848712993463,0.912847903668437,59.291351563496896,59.0,8,0.9128368226519356
90,0.0025,0.5373543741636497,0.7686852153247732,0.7686779079332441,59.291351563496896,59.0,8,0.768687111484049
90,0.004,0.1982467927933187,0.5995919697690426,0.5992380800305084,59.291351563496896,59.0,8,0.5994793660249237
90,0.006,-0.09546992999036474,0.4615173307739222,0.4545749879337609,59.291351563496896,59.0,8,0.45664550613421706
90,0.01,-0.4631488387346012,0.3735521303031999,0.29469801457886696,59.291351563496896,59.0,8,0.30649442290486584
90,0.015,-0.797212420966479,0.4629263295045343,0.1915337399653081,59.291351563496896,59.0,8,0.21651027502660403
90,0.025,-1.323604004582538,0.8979953556375477,0.09650649356195674,59.291351563496896,59.0,8,0.13618650774174557
90,0.04,-1.9507152651951047,1.7992095957932452,0.04287276647412781,59.291351563496896,59.0,8,0.08743777067149994
