experiment_id,stage,fraction,time_seconds,latency_contribution_seconds,utilization,mean_latency_seconds,cycle_seconds,row_role,generated_data_provenance
mitten-200-memory,S1,1.0,7.68e-06,7.68e-06,0.007679999999999999,0.00048492709999999994,0.001,mean_latency_and_utilization,analytic_reference
mitten-200-memory,S2,0.027,0.0176,0.0004752,0.4752,0.00048492709999999994,0.001,mean_latency_and_utilization,analytic_reference
mitten-200-memory,S3A,7.8e-06,0.0035,2.73e-08,2.73e-05,0.00048492709999999994,0.001,mean_latency_and_utilization,analytic_reference
mitten-200-memory,S3B,3.7e-06,0.171,6.327000000000001e-07,0.0006327,0.00048492709999999994,0.001,mean_latency_and_utilization,analytic_reference
mitten-200-memory,S3C,1.3e-06,0.557,7.241000000000001e-07,0.0007241000000000001,0.00048492709999999994,0.001,mean_latency_and_utilization,analytic_reference
mitten-200-memory,S4_mean,8.5e-08,7.8,6.629999999999999e-07,0.000663,0.00048492709999999994,0.001,mean_latency_and_utilization,analytic_reference
mitten-200-memory,S4_worst,8.5e-08,60.0,,0.0050999999999999995,0.00048492709999999994,0.001,worst_utilization_only,analytic_reference
mitten-300-memory,S1,1.0,3.07e-05,3.07e-05,0.0307,0.0006850898900000001,0.001,mean_latency_and_utilization,analytic_reference
mitten-300-memory,S2,0.021,0.0309,0.0006489,0.6489,0.0006850898900000001,0.001,mean_latency_and_utilization,analytic_reference
mitten-300-memory,S3A,1.3e-05,0.00613,7.969e-08,7.968999999999999e-05,0.0006850898900000001,0.001,mean_latency_and_utilization,analytic_reference
mitten-300-memory,S3B,7.4e-06,0.3,2.22e-06,0.0022199999999999998,0.0006850898900000001,0.001,mean_latency_and_utilization,analytic_reference
mitten-300-memory,S3C,2.3e-06,0.974,2.2401999999999997e-06,0.0022401999999999995,0.0006850898900000001,0.001,mean_latency_and_utilization,analytic_reference
mitten-300-memory,S4_mean,1.9e-07,5.0,9.5e-07,0.00095,0.0006850898900000001,0.001,mean_latency_and_utilization,analytic_reference
mitten-300-memory,S4_worst,1.9e-07,14.0,,0.00266,0.0006850898900000001,0.001,worst_utilization_only,analytic_reference
mitten-540-xx-surgery,S1,1.0,4.61e-05,4.61e-05,0.0461,0.0005946052000000001,0.001,mean_latency_and_utilization,analytic_reference
mitten-540-xx-surgery,S2,0.063,0.00381,0.00024003,0.24003,0.0005946052000000001,0.001,mean_latency_and_utilization,analytic_reference
mitten-540-xx-surgery,S3A,0.00061,0.00932,5.6852e-06,0.0056852000000000005,0.0005946052000000001,0.001,mean_latency_and_utilization,analytic_reference
mitten-540-xx-surgery,S3B,0.00048,0.456,0.00021888000000000002,0.21888000000000002,0.0005946052000000001,0.001,mean_latency_and_utilization,analytic_reference
mitten-540-xx-surgery,S3C,1.8e-05,1.48,2.664e-05,0.026639999999999997,0.0005946052000000001,0.001,mean_latency_and_utilization,analytic_reference
mitten-540-xx-surgery,S4_mean,8.3e-06,6.9,5.7270000000000006e-05,0.05727,0.0005946052000000001,0.001,mean_latency_and_utilization,analytic_reference
mitten-540-xx-surgery,S4_worst,8.3e-06,17.0,,0.1411,0.0005946052000000001,0.001,worst_utilization_only,analytic_reference
