time_s,synthetic_record_pT,injected_template_pT,matched_estimate_pT
0.0,0.05011429125146904,,0.10760989263419786
0.005,0.3448845151054132,,0.05197228894999203
0.01,0.0481050982008813,,-0.005189950309856
0.015,-0.7749222962726726,,-0.06224395983168498
0.02,-0.12681200979508134,,-0.11754734628662562
0.025,0.4481050653920157,,-0.1695343587548515
0.03,-0.18808314966967066,,-0.21678466002772875
0.035,-0.50182177985798,,-0.2579338047583303
0.04,0.13127172981828114,,-0.29178514078701495
0.045,0.38820576241492033,,-0.3173822302676789
0.05,-0.03948122167045866,,-0.3340443489080632
0.055,-0.40771969684323933,,-0.3412778474889669
0.06,0.24368787476224044,,-0.3388294163368643
0.065,0.40044588957424476,,-0.326785888709677
0.07,-0.043073704735700505,,-0.30550892212488984
0.075,-0.42104581920652573,,-0.2755927547978513
0.08,0.2940298498298954,,-0.23784135996019246
0.085,0.49360482671649836,,-0.19332378161346675
0.09,-0.15602580357936552,,-0.14332665413808007
0.095,-0.39873767706281593,,-0.08926138988428194
0.1,0.04175892436246642,,-0.03261978049808516
0.105,0.3237680987118309,,0.024990984252131972
0.11,0.03019798743202176,,0.08189968766918158
0.115,-0.5258458381794321,,0.13651104040020645
0.12,0.10192329772027939,,0.1873100415517183
0.125,0.35459478014863244,,0.23285727836308492
0.13,-0.2422248723559875,,0.27181203251264296
0.135,-0.5021203772759806,,0.30307255148182743
0.14,0.07186978636672871,,0.32581073897087026
0.145,0.25835503549953787,,0.3393544744834372
0.15,-0.18795871644484152,,0.34327665513411915
0.155,-0.3358913911080844,,0.33748183349480404
0.16,0.0993126959024202,,0.3221521323042102
0.165,0.5157624749135751,,0.29771228352324536
0.17,0.011169427765895648,,0.26480617785111227
0.17500000000000002,-0.48344389746709115,,0.22437969845230424
0.18,0.046225601656870736,,0.17761673062123404
0.185,0.38200303478676517,,0.12580893787420297
0.19,-0.12243870257819535,,0.07038445483863262
0.195,-0.32878307891654235,,0.012932978461413907
0.2,0.09060328743472212,,-0.04489659647495056
0.20500000000000002,0.6204660062200845,,-0.10148250934817081
0.21,-0.16192109614814132,,-0.15523723321328198
0.215,-0.6642081388198822,,-0.2046363065568125
0.22,0.02928905738060722,,-0.2482562435571359
0.225,0.43138869577380834,,-0.28486717805222694
0.23,-0.22062154852763616,,-0.3134647096663853
0.23500000000000001,-0.6175260551759787,,-0.3332087702088373
0.24,0.1379514504678669,,-0.3435222141233149
0.245,0.49996360908191656,,-0.34409935768923267
0.25,-0.1192493985486662,,-0.3349669575036898
0.255,-0.44923924902188084,,-0.3163639410330363
0.26,0.06715171846381107,,-0.28877750331713153
0.265,0.5822307025156783,,-0.25299057962988863
0.27,-0.1713485248244173,,-0.21005112073096863
0.275,-0.587468587917052,,-0.16116148731526794
0.28,0.1589265800682293,,-0.1076593016919085
0.28500000000000003,0.529512299595201,,-0.05106122044648022
0.29,-0.072157510195995,,0.006976528321036158
0.295,-0.4494129130482878,,0.06483752621851231
0.3,0.22643930477442104,,0.12091717028977991
0.305,0.5424020698993012,,0.17361842463795618
0.31,-0.09011669588390692,,0.22140951482852897
