gamma0_over_omega0,gamma0,optimal_polar_angle,optimal_measure,excited_ground_measure,equatorial_measure,excited_ground_shortfall,revival_segments,coarse_fine_measure_error
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.1,0.1,0.0,0.0,0.0,0.0,0.0,0,0.0
0.2,0.2,0.0,0.0,0.0,0.0,0.0,0,0.0
0.30000000000000004,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0,0.0
0.4,0.4,0.0,0.0,0.0,0.0,0.0,0,0.0
0.5,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0
0.6000000000000001,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0,0.0
0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0,0.0
0.8,0.8,0.0,0.0,0.0,0.0,0.0,0,0.0
0.9,0.9,0.0,0.0,0.0,0.0,0.0,0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1.1,1.1,0.0,0.0,0.0,0.0,0.0,0,0.0
1.2000000000000002,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0,0.0
1.3,1.3,0.0,0.0,0.0,0.0,0.0,0,0.0
1.4000000000000001,1.4000000000000001,0.0,0.0,0.0,0.0,0.0,0,0.0
1.5,1.5,0.0,0.0,0.0,0.0,0.0,0,0.0
1.6,1.6,0.0,0.0,0.0,0.0,0.0,0,0.0
1.7000000000000002,1.7000000000000002,0.0,0.0,0.0,0.0,0.0,0,0.0
1.8,1.8,0.0,0.0,0.0,0.0,0.0,0,0.0
1.9000000000000001,1.9000000000000001,0.0,0.0,0.0,0.0,0.0,0,0.0
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2.1,2.1,0.0,0.0,0.0,0.0,0.0,0,0.0
2.2,2.2,0.0,0.0,0.0,0.0,0.0,0,0.0
2.3000000000000003,2.3000000000000003,0.0,0.0,0.0,0.0,0.0,0,0.0
2.4000000000000004,2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0,0.0
2.5,2.5,0.0,0.0,0.0,0.0,0.0,0,0.0
2.6,2.6,0.0,0.0,0.0,0.0,0.0,0,0.0
2.7,2.7,0.0,0.0,0.0,0.0,0.0,0,0.0
2.8000000000000003,2.8000000000000003,0.0,0.0,0.0,0.0,0.0,0,0.0
2.9000000000000004,2.9000000000000004,0.0,0.0,0.0,0.0,0.0,0,0.0
3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0
3.1,3.1,0.0,0.0,0.0,0.0,0.0,0,0.0
3.2,3.2,0.0,0.0,0.0,0.0,0.0,0,0.0
3.3000000000000003,3.3000000000000003,0.0,0.0,0.0,0.0,0.0,0,0.0
3.4000000000000004,3.4000000000000004,0.0,0.0,0.0,0.0,0.0,0,0.0
3.5,3.5,0.0,0.0,0.0,0.0,0.0,0,0.0
3.6,3.6,0.0,0.0,0.0,0.0,0.0,0,0.0
3.7,3.7,0.0,0.0,0.0,0.0,0.0,0,0.0
3.8000000000000003,3.8000000000000003,0.0,0.0,0.0,0.0,0.0,0,0.0
3.9000000000000004,3.9000000000000004,0.0,0.0,0.0,0.0,0.0,0,0.0
4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0
4.1000000000000005,4.1000000000000005,0.0,0.0,0.0,0.0,0.0,0,0.0
4.2,4.2,0.0,0.0,0.0,0.0,0.0,0,0.0
4.3,4.3,0.0,0.0,0.0,0.0,0.0,0,0.0
4.4,4.4,0.0,0.0,0.0,0.0,0.0,0,0.0
4.5,4.5,0.0,0.0,0.0,0.0,0.0,0,0.0
